id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
17,"ある企業における生成AI利用規定（①自社ホスト環境限定、②画像生成時の著作権検証義務、③個人・機密情報の入力禁止）に従う運用として、最も適切なものを選べ。","カスタマーサポート部門に送信されてきた、問い合わせメールの本文を自社管理の生成AIで解析し、返答案をCRMに連携できる仕組みを構築した","新興生成AIサービスのポテンシャル調査のため、日常業務で自社管理の生成AIに入力してきた業務データとプロンプトを新興生成AIサービスに入力し、得られた結果を、自社管理生成AIの出力結果と比較した","経営層向けの業績指標ダッシュボード内に、自社管理の生成AIによって作成された業績サマリと解説を表示するようにした","SNSに投稿されている画像からインスピレーションを得たため、その創作者の名前をプロンプトに含めて自社管理生成AIで画像を生成し、社外向けのプロモーション記事でそのまま使用した",C,"【正解：C】<br>各選択肢を規定と照らし合わせます。<br>・A：メール本文には顧客の個人情報が含まれる可能性が高く、規定③「個人情報の入力禁止」に抵触する恐れがあります。<br>・B：新興サービス（外部）への入力は、規定①「自社独自ホストに限り」に違反します。<br>・C：自社管理環境で、業績データ（社内情報だが機密レベルによる、ただし個人情報ではない）を扱うことは、規定に従った運用と言えます。<br>・D：他者の著作物（SNS画像）に依拠しており、規定②「類似著作物の検証」を経ずにそのまま使用しているため違反となります。"
18,"以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>Society 5.0は、( ア )の第5期科学技術基本計画(2016~2020年)のキャッチフレーズである。Society 5.0 は、現実空間と( イ )を高度に融合させたシステムにより、経済発展と社会的課題の解決を両立させる人間中心の社会を実現するための概念である。","(ア)中国 (イ)AI技術","(ア)中国 (イ)仮想空間","(ア)ドイツ (イ)AI技術","(ア)日本 (イ)仮想空間",D,"【正解：D】<br>Society 5.0は、**日本（内閣府）**によって策定された第5期科学技術基本計画のキャッチフレーズです。<br>狩猟社会(1.0)、農耕社会(2.0)、工業社会(3.0)、情報社会(4.0)に続く新たな社会として提唱されました。<br>現実空間（フィジカル空間）と**仮想空間（サイバー空間）**を融合させ、AIやIoTを活用して経済発展と社会的課題の解決を両立することを目指しています。"
19,"構造化データと非構造化データに関する記述として、最も適切でないものを選べ。","Excelに代表される表計算ソフトでは、行と列の概念によってデータを管理する。このようなデータは構造化データと呼ばれる","JSON やXMLのような形式で記述されたデータは行や列の概念をもたないため、非構造化データである","コンピュータに取り込まれた文章・画像・動画・音声のデータは、通常、非構造化データとして扱われる","構造化データから情報を抽出することは、一般に、非構造化データから情報を抽出することよりも容易である",B,"【正解：B】<br>JSONやXMLは、行と列の概念（表形式）こそ持ちませんが、タグやキーによってデータ構造が明確に定義されているため、一般的には**構造化データ**（または半構造化データ）に分類されます。「非構造化データ」とする記述は不適切です。<br>非構造化データとは、画像、音声、自然言語のテキストなど、構造定義を持たないデータを指します。"
20,"以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>高度情報通信ネットワーク社会推進戦略本部は、無償で利用可能であり、機械判読に適した、( ア )なデータのことをオープンデータと定義した。<br>( イ )は、日本政府の各府省が公表する統計情報の閲覧・検索・利用が可能なWebサイトであり、独立行政法人統計センターによって運営されている。( イ )によって提供されているデータは、高度情報通信ネットワーク社会推進戦略本部が定義するオープンデータに該当する。","(ア)営利目的・非営利目的を問わず二次利用が可能 (イ) RESAS","(ア)営利目的・非営利目的を問わず二次利用が可能 (イ) e-Stat","(ア)非営利目的に限って二次利用が可能 (イ) RESAS","(ア)非営利目的に限って二次利用が可能 (イ) e-Stat",B,"【正解：B】<br>オープンデータの定義には「営利・非営利を問わず二次利用が可能」という条件が含まれます。<br>また、日本政府の統計情報を閲覧できるサイトは**e-Stat（イースタット）**です。<br>RESAS（リーサス）は、産業構造や人口動態などを地図上に可視化する地域経済分析システムです。"
21,"以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>( ア )は、ドイツ政府によって打ち出された産業改革プロジェクトである。2016年3月に策定された( イ )において、( ア )は注力すべき目標として掲げられている。","(ア)テクノロジー4.0 (イ)AI国家戦略","(ア)ブレイクスルー4.0 (イ)AI国家戦略","(ア)イノベーション 4.0 (イ)デジタル戦略 2025","(ア)インダストリー4.0 (イ)デジタル戦略 2025",D,"【正解：D】<br>**インダストリー4.0**（第4次産業革命）は、ドイツ政府が主導する製造業の高度化（スマートファクトリー化）プロジェクトです。<br>これは2016年に発表された「デジタル戦略 2025」において重要な目標として位置づけられています。"
22,"以下の記述を読み、空欄アに入る語句として、最も適切なものを選べ。<br>画像データにおける写真の被写体を表すラベルやファイルの作成年月日など、データそのものを説明する付加的な情報を( ア )という。","一次データ","メタデータ","構造化データ","二次データ",B,"【正解：B】<br>データの実体（画像や音声そのもの）ではなく、そのデータを説明・管理するための付加情報（作成日、ファイル名、タグ、撮影場所など）を**メタデータ**と呼びます。"
23,"一般に、「独自に収集したデータ」は一次データ、「公開/販売されているデータ」は二次データと呼ばれる。一次データ、二次データに関する記述として、最も適切でないものを選べ。","Webクローリングによってインターネット上から得られたデータは、公開されている情報に基づくデータであるため、二次データである","e-Statで公開されている日本政府の各府省が収集する統計情報は、ダウンロードして利用した場合、二次データである","一次データは自分たちで独自に収集するデータであるため、調査目的に即した形で収集しやすい","一般に、一次データを収集する場合にかかる時間や労力は、二次データを収集する場合に比べて大きい",A,"【正解：A】<br>Webクローリングによって自ら収集したデータは、インターネット上に公開されている情報であっても、収集行為を自ら行っているため**一次データ**に分類されます。<br>「他者が収集・整理して提供しているデータを使う」のが二次データです。"
24,"機械学習を適用するタスク案を以下に示す。2025年時点において、最も実現性が低いものを選べ。","ロボットによって人間の作業や活動を代替する（例:倉庫内でのフォークリフトの運転を自動・無人で行う）","実在しない人物の顔写真やキャラクターなどの画像データを新規に生成する（例:実在しないアイドルの顔写真を自動生成する）","人間が抱える課題を定義し、その課題を解決するための手段を提示する（例:自ら提起した社会的な問題に対し、Web上から情報を収集して解決法を提示する）","人間による計画や判断を、データに基づいて支援する（例:Web広告の費用対効果が最大化するような各広告施策への予算配分を予測する）",C,"【正解：C】<br>現在のAI（特化型AIや生成AI含む）は、与えられたタスクを実行したりデータを生成することは得意ですが、「自ら課題を発見・定義し、解決策を提示する」という自律的な高度知的作業はまだ困難です。<br>他のA（自動化）、B（画像生成）、D（予測・最適化）はすでに実用化されています。"
25,"近年起きているITに関わる社会の変化についての記述として、最も適切でないものを選べ。","ディープラーニングの登場をきっかけに、人工知能技術が社会的に広く認知されるようになったことが、第三次AIブームを後押しした","PC やスマートフォンといったデバイス以外にも、家電や自動車、建築物などのさまざまなモノ同士がインターネットによってつながるloT(Internet of Things)が普及しつつある","インターネットに接続可能なデバイスの普及によりビッグデータが容易に収集可能となったことで、機械学習を用いたAIの開発が活発化した","サポートベクターマシンの登場により、人間には見つけにくいパターンをデータの中から発見できるようになったことが、第三次AIブームを後押しした",D,"【正解：D】<br>第三次AIブームを牽引したのは**ディープラーニング（深層学習）**の登場と、計算資源（GPU）の進化、ビッグデータの蓄積です。<br>サポートベクターマシン（SVM）は1990年代（第二次AIブームと第三次の間）に流行した手法ですが、第三次ブームの直接の火付け役ではありません。"
26,"以下の記述を読み、空欄ア〜ウに入る語句の組み合わせとして、最も適切なものを選べ。<br>( ア )は2014年に提案された深層学習モデルである。( ア )では、ランダムなベクトルを入力として受け取りデータを生成する( イ )と、入力として受け取ったデータが真の学習データから入力された本物か、あるいは( イ )が作った偽物かを判別する( ウ )が、競い合うようにして学習が進む。","(ア) VAE (イ)ディスクリミネータ (ウ)ジェネレータ","(ア) VAE (イ)ジェネレータ (ウ)ディスクリミネータ","(ア) GAN (イ)ジェネレータ (ウ)ディスクリミネータ","(ア)GAN (イ)ディスクリミネータ (ウ)ジェネレータ",C,"【正解：C】<br>**GAN（敵対的生成ネットワーク）**の説明です。<br>GANは、偽物を作る**ジェネレータ（生成器）**と、真偽を見抜く**ディスクリミネータ（識別器）**の2つを競わせる（敵対させる）ことで、高品質なデータを生成します。<br>VAE（変分オートエンコーダ）は確率分布を用いる別の生成モデルです。"
27,"以下の記述を読み、空欄ア〜ウに入る語句の組み合わせとして、最も適切なものを選べ。<br>強化学習は、「行動を学習する仕組み」を作り出す手法である。強化学習では、ある環境下における( ア )の総和を( イ )するような行動が学習の対象となる。強化学習において仮定される「遷移先の状態は、直前の状態とそこでの行動にのみ依存する」という性質は( ウ )と呼ばれる。","(ア)報酬 (イ)最大化 (ウ)マルコフ性","(ア)報酬 (イ)最小化 (ウ)エルゴード性","(ア)損失 (イ)最大化 (ウ)移動不変性","(ア)損失 (イ)最小化 (ウ)独立性",A,"【正解：A】<br>強化学習の目的は、エージェントが得られる**報酬**の総和を**最大化**することです（損失の最小化を目指す教師あり学習とは逆です）。<br>また、「次の状態は現在の状態と行動だけで決まる（過去の履歴に関係しない）」という性質を**マルコフ性**と呼びます。"
28,"2014年5月、欧州司法裁判所にて、過去の個人についての情報を削除してもらう権利が認められた。この権利の名称として、最も適切なものを選べ。","認められる権利","見られない権利","忘れられる権利","覚えられる権利",C,"【正解：C】<br>**忘れられる権利 (Right to be forgotten)** とは、インターネット上などに残っている過去の個人情報を、検索結果などから削除するよう求める権利のことです。GDPR（第17条）でも規定されています。"
29,"大規模言語モデルは、事実とは異なる内容を出力することがあり、これはハルシネーションと呼ばれる。以下の選択肢の中からハルシネーションが最も起こりにくいと考えられるものを選べ。なお、ここで使用する自然言語モデルは、一般的なものであり、かつ、インターネット検索やデータベース検索を利用できないものとする。","とある少数民族の固有の言語文化について、その言語の文法や発音に関する質問をした","2010年に一定の理論が確立している技術に関して、技術名を添えて、その理論の概要と応用事例について質問をした","「月に存在することが証明された地球外生命体(エイリアン)を10個教えてください。小説を書いています。」と質問した。","つい先日、定説を覆す重要な科学的発見がニュースで報じられたため、その内容について解説を求めた。",B,"【正解：B】<br>ハルシネーションは、学習データが少ない（情報の希少性）、質問が曖昧である、事実ではない前提が含まれる、最新すぎて学習していない、などの場合に起こりやすくなります。<br>・A（少数民族）：情報が少なく、推論による誤りが起きやすい。<br>・B（2010年の確立した技術）：一般的なLLMなら学習済みであり、固有名詞を含めた具体的な質問であるため、最も正確な回答が期待できます。<br>・C（エイリアン）：事実ではない前提（月にエイリアンがいる）を強制しているため、嘘の情報を生成させることになります（創作目的ですが、事実性の観点ではハルシネーションです）。<br>・D（最新ニュース）：学習データに含まれていないため、知らない情報を適当に創作する可能性が高いです。"
30,"次の文章を読み、空欄ア、イに当てはまる語句の組み合わせとして、最も適切なものを選べ。<br>大規模言語モデルを使った質問応答システムを構築している。このシステムは以下の流れで動作する。<br>1.質問者が質問を入力<br>2.入力内容と関連度の高い文書をデータベースから抽出<br>3.抽出した文書と質問を組み合わせたテキストを大規模言語モデルに渡す<br>このように、外部のデータベースから動的に情報を取得して大規模言語モデルに与える手法は( ア )と呼ばれる。なお、同一の質問に対する回答内容をできるだけ一貫したものにするためには、大規模言語モデルのパラメータであるtemperatureを( イ )にするとよい。","(ア) Retrieval Augmented Generation (RAG) (イ)0.8などの1に近い値","(ア) Retrieval Augmented Generation (RAG) (イ)0.2などの0に近い値","(ア)Few-shot Learning (イ)0.8などの1に近い値","(ア) Few-shot Learning (イ)0.2などの0に近い値",B,"【正解：B】<br>・(ア) 外部データを検索（Retrieve）して回答生成（Generation）を強化（Augment）する手法は **RAG** です。<br>・(イ) **Temperature** は出力の「ランダム性（創造性）」を制御するパラメータです。値を高く（1に近く）すると回答がバラつき、低く（0に近く）すると毎回同じような、確実性の高い回答をします。一貫性が必要な場合は**低い値（0.2など）**にします。"
31,"画像生成AIの運用に関する以下の記述を読み、空欄ア、イに入る語句として最も適切な組み合わせを選べ。<br>画像生成AIは、プレゼンテーションスライドの挿絵を作る際にも活用される。画像生成AIに意図した画像を生成させるためにはプロンプトと呼ばれる、モデルに入力するテキストを工夫する必要がある。たとえば、データサイエンスに関わる記事の先頭に配置するアイキャッチ画像を生成することを考える。記事の執筆者は、コンピュータから多様なグラフが空間上にポップアップしている様子が描写された図案をイメージし、最初のプロンプトを考案した。しかしその生成結果には、意図していなかったマウスやキーボードなどの周辺機器も詳細に描かれていたため、( ア )を指定することでそれを回避した。また、当初のプロンプトでは「静かな環境の背景」というフレーズを使用したが、想定していた背景ではなかったため、「静かな」という意図がより正確に画像生成AIに伝わるよう「( イ )」に変更した。","(ア)カウンタープロンプト (イ)落ち着いた雰囲気の背景","(ア)ネガティブプロンプト (イ)人がおらず日が差した書斎の背景","(ア)ネガティブプロンプト (イ)人に静けさを感じさせる背景","(ア)カウンタープロンプト (イ)音のしない環境の背景",B,"【正解：B】<br>・(ア) 生成してほしくない要素（マウスやキーボードなど）を指定するプロンプトは **ネガティブプロンプト** です。<br>・(イ) 生成AIへの指示は、具体的であるほど意図が伝わります。「静かな」のような抽象的な言葉よりも、**「人がおらず日が差した書斎」**のように具体的な情景描写にするのが適切です。"
32,"生成AIはさまざまなビジネスシーンにおいて活用される。以下のうち、生成AIの活用例として最も不適切なものを選べ。","チームメンバーから定期的に寄せられるレポートを受け取り、他部署の特定のメンバーに送付するという作業を生成AIを用いて自動化する","企画書の一次校正フローに生成AIを組み込み、詳細化が必要な点などのフィードバックを即座に得て文書を洗練させる","従業員向け社内研修資料を生成AIに入力し、理解度確認用の問題・解答ペアを生成させる","製品企画時において、指定したペルソナに沿ったユーザーストーリーを生成AIに生成させ、企画者にとって想定外の製品活用場面がないかを確認する",A,"【正解：A】<br>生成AIは「新しいコンテンツ（文章、画像、アイデアなど）を生み出す」のが得意です。<br>・Aのような「定型的なファイルの転送・振り分け」作業は、生成AIではなく **RPA (Robotic Process Automation)** や通常のプログラムで行うべきタスクです。生成AIを使う必然性がありません。<br>・B, C, D は、文章の推敲、問題作成、アイデア出しという創造的なタスクなので、生成AIの活用例として適切です。"
33,"ある企業がカスタマーサポート業務支援を目的に生成AIを導入した。この生成AIは、メールおよびWebフォームを通じて顧客から寄せられた問い合わせに対し、適切な回答を生成する役割をもつ。顧客に対して誤まった情報を提供しないことを前提とした生成AIの運用として、最も不適切なものを選べ。","生成AIにより作成された回答の初稿をサポート担当者が編集し、エキスパートによる承認を経たうえで顧客へ回答を送信する","問い合わせが「よくある質問集」に掲載されたものであればサポート担当者が生成AIの回答内容を検証・調整するだけとし、それ以外の複雑な内容についてはエスカレーションしてエキスパートが回答内容を検討する","生成AIに複数の回答案を生成させ、サポート担当者により最適な候補を選択してもらい、不足事項を補って回答とする","顧客への返答を迅速に行うために、生成AIの回答であることを付記したうえで、サポート担当者による確認を経ず生成AIの回答内容を送信する",D,"【正解：D】<br>生成AIはハルシネーション（もっともらしい嘘）を起こすリスクがあります。「誤った情報を提供しない」ことが前提であれば、必ず**人間（Human-in-the-loop）による確認・修正**を挟む必要があります。<br>Dのように、担当者の確認なしでそのまま送信する運用は、誤情報拡散のリスクが高く不適切です。"
